,CityID,City,Humidity,Temp,Latitude,Cloudiness,WindSpeed,MaxTemp,Longitude,LatLong,CountryCode
50,2521582,Arona,47,55.8,28.1,20,9.17,60.01,-16.68,"{'lon': -16.68, 'lat': 28.1}",ES
51,3598825,Chahal Guatemala,91,60.21,15.75,0,1.28,60.21,-89.57,"{'lon': -89.57, 'lat': 15.75}",GT
52,2659700,Meiringen,92,28.08,46.73,0,3.15,35.01,8.18,"{'lon': 8.18, 'lat': 46.73}",CH
53,3386264,Toritama,90,73.06,-8.01,100,4.12,73.06,-36.06,"{'lon': -36.06, 'lat': -8.01}",BR
54,2156643,Mount Gambier,51,62.6,-37.83,75,24.16,62.6,140.77,"{'lon': 140.77, 'lat': -37.83}",AU
55,2155415,New Norfolk,72,62.29,-42.78,75,9.17,66.0,147.06,"{'lon': 147.06, 'lat': -42.78}",AU
56,3353540,Rehoboth,39,64.18,-23.32,0,2.08,64.18,17.08,"{'lon': 17.08, 'lat': -23.32}",NA
57,4021858,Guerrero Negro,84,60.33,27.98,0,11.7,60.33,-114.06,"{'lon': -114.06, 'lat': 27.98}",MX
58,3831208,Qaanaaq,51,-7.71,77.48,39,6.38,-7.71,-69.36,"{'lon': -69.36, 'lat': 77.48}",GL
59,3840300,Presidencia Roque Saenz Pena,86,71.67,-26.79,0,6.02,71.67,-60.44,"{'lon': -60.44, 'lat': -26.79}",AR
60,3014334,Gueugnon,92,28.13,46.6,21,3.36,28.99,4.06,"{'lon': 4.06, 'lat': 46.6}",FR
61,986717,Kruisfontein,93,58.1,-34.0,33,5.37,58.1,24.73,"{'lon': 24.73, 'lat': -34}",ZA
62,2027042,Batagay-Alyta,98,-28.88,67.8,100,1.79,-28.88,130.41,"{'lon': 130.41, 'lat': 67.8}",RU
63,6185377,Yellowknife,84,6.44,62.46,90,4.7,6.8,-114.35,"{'lon': -114.35, 'lat': 62.46}",CA
64,2077895,Alice Springs,17,100.4,-23.7,36,10.29,100.4,133.88,"{'lon': 133.88, 'lat': -23.7}",AU
65,2028164,Deputatsky,91,-25.67,69.3,86,3.74,-25.67,139.9,"{'lon': 139.9, 'lat': 69.3}",RU
66,1688696,San Policarpo,71,81.39,12.18,67,11.65,81.39,125.51,"{'lon': 125.51, 'lat': 12.18}",PH
67,546105,Nikolskoye,53,25.74,59.7,5,24.61,26.6,30.79,"{'lon': 30.79, 'lat': 59.7}",RU
68,1337612,Dhidhdhoo,77,81.97,6.88,67,12.97,81.97,73.1,"{'lon': 73.1, 'lat': 6.88}",MV
69,191675,Kipini,85,78.6,-2.53,100,7.92,78.6,40.53,"{'lon': 40.53, 'lat': -2.53}",KE
70,3457161,Mimoso do Sul,99,66.92,-21.06,100,1.45,66.92,-41.37,"{'lon': -41.37, 'lat': -21.06}",BR
71,1529484,Kumul,79,10.74,42.8,58,3.04,10.74,93.45,"{'lon': 93.45, 'lat': 42.8}",CN
72,5975004,High Level,92,14.0,58.52,90,3.36,14.0,-117.14,"{'lon': -117.14, 'lat': 58.52}",CA
73,2012530,Zhigansk,89,-26.82,66.77,100,6.38,-26.82,123.37,"{'lon': 123.37, 'lat': 66.77}",RU
74,1106677,Bambous Virieux,94,79.38,-20.34,75,3.36,80.01,57.76,"{'lon': 57.76, 'lat': -20.34}",MU
75,2092164,Lorengau,77,83.1,-2.02,0,13.67,83.1,147.27,"{'lon': 147.27, 'lat': -2.02}",PG
76,5847411,Kahului,53,74.07,20.89,20,10.29,78.8,-156.47,"{'lon': -156.47, 'lat': 20.89}",US
77,2537881,Safi,80,52.2,32.3,100,6.71,52.2,-9.24,"{'lon': -9.24, 'lat': 32.3}",MA
78,1651810,Airai,56,82.51,-8.93,95,4.45,82.51,125.41,"{'lon': 125.41, 'lat': -8.93}",TL
79,3883457,Lebu,97,52.72,-37.62,0,2.53,52.72,-73.65,"{'lon': -73.65, 'lat': -37.62}",CL
80,2219235,Ubari,37,49.96,26.59,14,11.05,49.96,12.78,"{'lon': 12.78, 'lat': 26.59}",LY
81,3372707,Ribeira Grande,76,53.1,38.52,1,7.29,53.1,-28.7,"{'lon': -28.7, 'lat': 38.52}",PT
82,6111696,Port-Cartier,79,23.0,50.03,90,9.17,23.0,-66.87,"{'lon': -66.87, 'lat': 50.03}",CA
83,4034551,Faanui,75,82.6,-16.48,33,10.11,82.6,-151.75,"{'lon': -151.75, 'lat': -16.48}",PF
84,777682,Skjervoy,69,33.01,70.03,100,9.04,33.01,20.97,"{'lon': 20.97, 'lat': 70.03}",NO
85,88834,Tukrah,70,52.23,32.53,0,7.85,52.23,20.58,"{'lon': 20.58, 'lat': 32.53}",LY
86,3354071,Oranjemund,87,62.64,-28.55,0,2.24,62.64,16.43,"{'lon': 16.43, 'lat': -28.55}",NA
87,6165406,Thompson,83,-7.6,55.74,40,3.8,-7.6,-97.86,"{'lon': -97.86, 'lat': 55.74}",CA
88,3670447,Saboya,93,57.33,5.7,98,2.84,57.33,-73.77,"{'lon': -73.77, 'lat': 5.7}",CO
89,3336897,La Rioja,100,37.58,42.25,90,2.24,39.2,-2.5,"{'lon': -2.5, 'lat': 42.25}",ES
90,5919850,Chapais,92,28.4,49.78,90,11.41,28.4,-74.85,"{'lon': -74.85, 'lat': 49.78}",CA
91,2126710,Beringovskiy,94,-12.1,63.05,32,6.87,-12.1,179.32,"{'lon': 179.32, 'lat': 63.05}",RU
92,1819729,Hong Kong,65,74.84,22.29,20,6.93,81.0,114.16,"{'lon': 114.16, 'lat': 22.29}",HK
93,2126123,Chokurdakh,97,-20.58,70.63,100,8.84,-20.58,147.92,"{'lon': 147.92, 'lat': 70.63}",RU
94,2022572,Khatanga,87,-33.32,71.97,88,9.62,-33.32,102.5,"{'lon': 102.5, 'lat': 71.97}",RU
95,3146487,Raudeberg,100,44.64,61.99,100,24.16,46.0,5.14,"{'lon': 5.14, 'lat': 61.99}",NO
